date,day
4/20/2020,2
4/21/2020,2
4/22/2020,1
4/23/2020,2
4/24/2020,2
4/25/2020,2
4/26/2020,3
4/27/2020,3
4/28/2020,2
4/29/2020,2
4/30/2020,3
5/1/2020,3
5/2/2020,2
5/3/2020,3
5/4/2020,2
5/5/2020,3
5/6/2020,2
5/7/2020,2
5/8/2020,3
5/9/2020,2
5/10/2020,2
5/11/2020,3
5/12/2020,3
5/13/2020,3
5/14/2020,3
5/15/2020,1
5/16/2020,3
5/17/2020,2
5/18/2020,3
5/19/2020,3
5/20/2020,2
5/21/2020,3
5/22/2020,3
5/23/2020,3
5/24/2020,3
5/25/2020,3
5/26/2020,4
5/27/2020,3
5/28/2020,4
5/29/2020,3
5/30/2020,2
5/31/2020,2
6/1/2020,3
6/2/2020,3
6/3/2020,3
6/4/2020,4
6/5/2020,3
6/6/2020,3
6/7/2020,2
6/8/2020,3
6/9/2020,3
6/10/2020,3
6/11/2020,3
6/12/2020,3
6/13/2020,3
6/14/2020,3
6/15/2020,4
6/16/2020,3
6/17/2020,3
6/18/2020,3
6/19/2020,3
6/20/2020,2
6/21/2020,3
6/22/2020,4
6/23/2020,4
6/24/2020,4
6/25/2020,3
6/26/2020,3
6/27/2020,3
6/28/2020,3
6/29/2020,3
6/30/2020,4
7/1/2020,4
7/2/2020,4
7/3/2020,4
7/4/2020,4
7/5/2020,3
7/6/2020,3
7/7/2020,3
7/8/2020,4
7/9/2020,4
7/10/2020,4
7/11/2020,4
7/12/2020,4
7/13/2020,3
7/14/2020,2
7/15/2020,4
7/16/2020,3
7/17/2020,3
7/18/2020,3
7/19/2020,4
7/20/2020,3
7/21/2020,4
7/22/2020,3
7/23/2020,4
7/24/2020,3
7/25/2020,3
7/26/2020,2
7/27/2020,3
7/28/2020,4
7/29/2020,3
7/30/2020,2
7/31/2020,4
8/1/2020,3
8/2/2020,3
8/3/2020,3
8/4/2020,2
8/5/2020,3
8/6/2020,4
8/7/2020,3
8/8/2020,3
8/9/2020,4
8/10/2020,3
8/11/2020,3
8/12/2020,3
8/13/2020,4
8/14/2020,3
8/15/2020,4
8/16/2020,3
8/17/2020,4
8/18/2020,2
8/19/2020,3
8/20/2020,3
8/21/2020,3
8/22/2020,4
8/23/2020,4
8/24/2020,3
8/25/2020,0
8/26/2020,3
8/27/2020,4
8/28/2020,4
8/29/2020,3
8/30/2020,3
8/31/2020,3
9/1/2020,4
9/2/2020,3
9/3/2020,4
9/4/2020,4
9/5/2020,4
9/6/2020,3
9/7/2020,4
9/8/2020,3
9/9/2020,3
9/10/2020,2
9/11/2020,3
9/12/2020,3
9/13/2020,3
9/14/2020,4
9/15/2020,4
9/16/2020,4
9/17/2020,4
9/18/2020,4
9/19/2020,3
9/20/2020,3
9/21/2020,4
9/22/2020,4
9/23/2020,3
9/24/2020,4
9/25/2020,4
9/26/2020,4
9/27/2020,5
9/28/2020,4
9/29/2020,5
9/30/2020,4
10/1/2020,5
10/2/2020,4
10/3/2020,5
10/4/2020,4
10/5/2020,4
10/6/2020,3
10/7/2020,3
10/8/2020,4
10/9/2020,4
10/10/2020,3
10/11/2020,4
10/12/2020,4
10/13/2020,3
10/14/2020,4
10/15/2020,3
10/16/2020,4
10/17/2020,4
10/18/2020,3
10/19/2020,5
10/20/2020,4
10/21/2020,4
10/22/2020,3
10/23/2020,4
10/24/2020,5
10/25/2020,5
10/26/2020,3
10/27/2020,4
10/28/2020,4
10/29/2020,4
10/30/2020,3
10/31/2020,4
11/1/2020,5
11/2/2020,3
11/3/2020,3
11/4/2020,5
11/5/2020,4
11/6/2020,4
11/7/2020,5
11/8/2020,4
11/9/2020,4
11/10/2020,4
11/11/2020,3
11/12/2020,3
11/13/2020,3
11/14/2020,4
11/15/2020,5
11/16/2020,4
11/17/2020,3
11/18/2020,4
11/19/2020,4
11/20/2020,4
11/21/2020,4
11/22/2020,4
11/23/2020,4
11/24/2020,3
11/25/2020,3
11/26/2020,5
11/27/2020,3
11/28/2020,3
11/29/2020,4
11/30/2020,3
12/1/2020,4
12/2/2020,3
12/3/2020,4
12/4/2020,4
12/5/2020,4
12/6/2020,3
12/7/2020,3
12/8/2020,4
12/9/2020,3
12/10/2020,4
12/11/2020,4
12/12/2020,5
12/13/2020,4
12/14/2020,4
12/15/2020,4
12/16/2020,4
12/17/2020,3
12/18/2020,3
12/19/2020,3
12/20/2020,5
12/21/2020,4
12/22/2020,3
12/23/2020,3
12/24/2020,4
12/25/2020,5
12/26/2020,5
12/27/2020,3
12/28/2020,4
12/29/2020,5
12/30/2020,5
12/31/2020,5
1/1/2021,3
1/2/2021,4
1/3/2021,5
1/4/2021,3
1/5/2021,3
1/6/2021,3
1/7/2021,5
1/8/2021,4
1/9/2021,3
1/10/2021,3
1/11/2021,3
1/12/2021,3
1/13/2021,3
1/14/2021,4
1/15/2021,4
1/16/2021,4
1/17/2021,5
1/18/2021,2
1/19/2021,3
1/20/2021,3
1/21/2021,3
1/22/2021,3
1/23/2021,3
1/24/2021,1
1/25/2021,2
1/26/2021,3
1/27/2021,1
1/28/2021,2
1/29/2021,2
1/30/2021,2
1/31/2021,3
2/1/2021,2
2/2/2021,3
2/3/2021,3
2/4/2021,3
2/5/2021,2
2/6/2021,3
2/7/2021,3
2/8/2021,3
2/9/2021,3
2/10/2021,2
2/11/2021,3
2/12/2021,2
2/13/2021,3
2/14/2021,2
2/15/2021,3
2/16/2021,3
2/17/2021,3
2/18/2021,3
2/19/2021,2
2/20/2021,3
2/21/2021,2
2/22/2021,2
2/23/2021,2
2/24/2021,1
2/25/2021,2
2/26/2021,1
2/27/2021,2
2/28/2021,2
3/1/2021,2
3/2/2021,2
3/3/2021,2
3/4/2021,2
3/5/2021,3
3/6/2021,3
3/7/2021,3
3/8/2021,3
3/9/2021,2
3/10/2021,2
3/11/2021,2
3/12/2021,2
3/13/2021,3
3/14/2021,2
3/15/2021,2
3/16/2021,3
3/17/2021,3
3/18/2021,3
3/19/2021,3
3/20/2021,2
3/21/2021,3
3/22/2021,2
3/23/2021,3
3/24/2021,3
3/25/2021,2
3/26/2021,2
3/27/2021,2
3/28/2021,1
3/29/2021,2
3/30/2021,3
3/31/2021,3
4/1/2021,2
4/2/2021,2
4/3/2021,3
4/4/2021,2
4/5/2021,3
4/6/2021,3
4/7/2021,2
4/8/2021,3
4/9/2021,3
4/10/2021,2
4/11/2021,3
4/12/2021,2
4/13/2021,3
